"",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif","Variable"
"230","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.625,"ns",1,"ns","Southeast_Asian_Asian"
"231","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.998,"ns",1,"ns","white_Race"
"232","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.516,"ns",1,"ns","white_Race"
"233","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.542,"ns",1,"ns","white_Race"
"234","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.0547,"ns",0.273,"ns","white_Race"
"235","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.565,"ns",1,"ns","white_Race"
"236","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.547,"ns",1,"ns","University_nnAve"
"237","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.144,"ns",1,"ns","University_nnAve"
"238","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.288,"ns",1,"ns","University_nnAve"
"239","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.457,"ns",1,"ns","University_nnAve"
"240","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.24,"ns",1,"ns","University_nnAve"
"241","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0713,"ns",0.713,"ns","University_nnAve"
"242","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.893,"ns",1,"ns","University_nnAve"
"243","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.741,"ns",1,"ns","University_nnAve"
"244","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.227,"ns",1,"ns","University_nnAve"
"245","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.474,"ns",1,"ns","University_nnAve"
"246","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.239,"ns",1,"ns","Tutoring_nnAve"
"247","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.147,"ns",0.967,"ns","Tutoring_nnAve"
"248","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.477,"ns",1,"ns","Tutoring_nnAve"
"249","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.232,"ns",1,"ns","Tutoring_nnAve"
"250","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.138,"ns",0.967,"ns","Tutoring_nnAve"
"251","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.609,"ns",1,"ns","Tutoring_nnAve"
"252","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.773,"ns",1,"ns","Tutoring_nnAve"
"253","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.951,"ns",1,"ns","Intervene_nnAve"
"254","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.142,"ns",0.929,"ns","Intervene_nnAve"
"255","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.167,"ns",0.929,"ns","Intervene_nnAve"
"256","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.446,"ns",1,"ns","Intervene_nnAve"
"257","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.446,"ns",1,"ns","Intervene_nnAve"
"258","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.069,"ns",0.621,"ns","Intervene_nnAve"
"259","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.101,"ns",0.807,"ns","Intervene_nnAve"
"260","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.133,"ns",0.929,"ns","Intervene_nnAve"
"261","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.844,"ns",1,"ns","Intervene_nnAve"
"262","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.742,"ns",1,"ns","Watch_nnAve"
"263","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.973,"ns",1,"ns","Watch_nnAve"
"264","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.82,"ns",1,"ns","Watch_nnAve"
"265","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.575,"ns",1,"ns","Watch_nnAve"
"266","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.432,"ns",1,"ns","Watch_nnAve"
"267","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.738,"ns",1,"ns","Watch_nnAve"
"268","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.78,"ns",1,"ns","Watch_nnAve"
"269","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.989,"ns",1,"ns","Watch_nnAve"
"270","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.828,"ns",1,"ns","Watch_nnAve"
"271","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.49,"ns",1,"ns","Watch_nnAve"
"272","Values","AAPI_Cluster","East_Asian_Cluster",34,23,0.679,"ns",1,"ns","Reinforce_nnAve"
"273","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.0582,"ns",0.524,"ns","Reinforce_nnAve"
"274","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.111,"ns",0.889,"ns","Reinforce_nnAve"
"275","Values","AAPI_Cluster","SouthAsian_Cluster",34,14,0.489,"ns",1,"ns","Reinforce_nnAve"
"276","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.329,"ns",1,"ns","Reinforce_nnAve"
"277","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.389,"ns",1,"ns","Reinforce_nnAve"
"278","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.617,"ns",1,"ns","Reinforce_nnAve"
"279","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.266,"ns",1,"ns","Reinforce_nnAve"
"280","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.197,"ns",1,"ns","Reinforce_nnAve"
